"season","League","Date","Month","Home","Away","HomeGoals","AwayGoals","TotalGoals","odds1","oddsX","odds2","oddsOver2.5","oddsUnder2.5","hs","as","hst","ast"
"2122","D1",2021-08-13,8,"M'gladbach","Bayern Munich",1,1,2,4.73,4.39,1.71,1.42,3.01,11,20,5,10
"2122","D1",2021-08-14,8,"Augsburg","Hoffenheim",0,4,4,3.2,3.83,2.23,1.64,2.38,7,15,0,8
"2122","D1",2021-08-14,8,"Bielefeld","Freiburg",0,0,0,3.04,3.33,2.54,2.07,1.85,10,14,4,6
"2122","D1",2021-08-14,8,"Stuttgart","Greuther Furth",5,1,6,1.9,3.93,4.13,1.65,2.37,30,8,15,4
"2122","D1",2021-08-14,8,"Union Berlin","Leverkusen",1,1,2,2.83,3.44,2.65,1.91,2,8,16,5,4
"2122","D1",2021-08-14,8,"Wolfsburg","Bochum",1,0,1,1.59,4.41,5.92,1.62,2.43,21,7,9,1
"2122","D1",2021-08-14,8,"Dortmund","Ein Frankfurt",5,2,7,1.45,5.24,6.8,1.37,3.29,12,12,7,3
"2122","D1",2021-08-15,8,"Mainz","RB Leipzig",1,0,1,8.09,5.66,1.38,1.56,2.56,7,15,2,2
"2122","D1",2021-08-15,8,"FC Koln","Hertha",3,1,4,2.62,3.41,2.88,1.98,1.93,15,11,5,5
"2122","D1",2021-08-20,8,"RB Leipzig","Stuttgart",4,0,4,1.43,5.07,7.61,1.55,2.6,26,11,11,5
"2122","D1",2021-08-21,8,"Bochum","Mainz",2,0,2,2.74,3.59,2.64,1.81,2.11,9,16,5,3
"2122","D1",2021-08-21,8,"Ein Frankfurt","Augsburg",0,0,0,1.65,4.48,5.16,1.58,2.53,20,4,5,0
"2122","D1",2021-08-21,8,"Freiburg","Dortmund",2,1,3,5.67,4.73,1.57,1.5,2.72,8,19,4,2
"2122","D1",2021-08-21,8,"Greuther Furth","Bielefeld",1,1,2,2.62,3.5,2.82,2.02,1.89,20,9,5,2
"2122","D1",2021-08-21,8,"Hertha","Wolfsburg",1,2,3,3.21,3.51,2.35,1.89,2.01,12,12,4,3
"2122","D1",2021-08-21,8,"Leverkusen","M'gladbach",4,0,4,2.39,3.71,3,1.61,2.46,13,11,6,6
"2122","D1",2021-08-22,8,"Hoffenheim","Union Berlin",2,2,4,2.06,3.7,3.75,1.78,2.15,7,11,3,8
"2122","D1",2021-08-22,8,"Bayern Munich","FC Koln",3,2,5,1.13,9.87,23.59,1.31,3.64,18,10,6,3
"2122","D1",2021-08-27,8,"Dortmund","Hoffenheim",3,2,5,1.47,5.3,6.5,1.33,3.54,23,9,13,5
"2122","D1",2021-08-28,8,"Augsburg","Leverkusen",1,4,5,5.08,3.9,1.75,1.83,2.07,13,13,4,5
"2122","D1",2021-08-28,8,"Bielefeld","Ein Frankfurt",1,1,2,3.52,3.7,2.13,1.83,2.07,14,12,5,3
"2122","D1",2021-08-28,8,"FC Koln","Bochum",2,1,3,1.89,3.83,4.28,1.76,2.17,21,10,5,1
"2122","D1",2021-08-28,8,"Mainz","Greuther Furth",3,0,3,1.74,4.04,5.01,1.77,2.16,17,8,9,1
"2122","D1",2021-08-28,8,"Stuttgart","Freiburg",2,3,5,2.28,3.54,3.32,1.78,2.14,17,14,7,7
"2122","D1",2021-08-28,8,"Bayern Munich","Hertha",5,0,5,1.19,7.84,15.93,1.26,4.04,17,8,6,3
"2122","D1",2021-08-29,8,"Union Berlin","M'gladbach",2,1,3,2.62,3.36,2.93,1.87,2.04,12,18,4,5
"2122","D1",2021-08-29,8,"Wolfsburg","RB Leipzig",1,0,1,3.57,3.61,2.15,1.81,2.1,8,12,2,2
"2122","D1",2021-09-11,9,"Freiburg","FC Koln",1,1,2,2.15,3.82,3.37,1.67,2.33,10,15,3,5
"2122","D1",2021-09-11,9,"Greuther Furth","Wolfsburg",0,2,2,5.8,4.45,1.59,1.63,2.4,7,10,3,4
"2122","D1",2021-09-11,9,"Hoffenheim","Mainz",0,2,2,2.06,3.91,3.54,1.64,2.39,12,11,0,4
"2122","D1",2021-09-11,9,"Leverkusen","Dortmund",3,4,7,3.15,3.98,2.2,1.44,2.96,11,15,5,7
"2122","D1",2021-09-11,9,"Union Berlin","Augsburg",0,0,0,1.74,4.09,4.89,1.92,1.99,15,13,6,6
"2122","D1",2021-09-11,9,"RB Leipzig","Bayern Munich",1,4,5,3.08,4.05,2.22,1.48,2.78,10,18,4,6
"2122","D1",2021-09-12,9,"Ein Frankfurt","Stuttgart",1,1,2,2.07,3.85,3.57,1.51,2.68,18,9,5,3
"2122","D1",2021-09-12,9,"Bochum","Hertha",1,3,4,2.8,3.42,2.68,2.03,1.88,19,5,5,4
"2122","D1",2021-09-12,9,"M'gladbach","Bielefeld",3,1,4,1.47,4.77,7.42,1.71,2.26,17,18,4,7
"2122","D1",2021-09-17,9,"Hertha","Greuther Furth",2,1,3,1.84,3.75,4.67,1.87,2.04,15,10,3,3
"2122","D1",2021-09-18,9,"Augsburg","M'gladbach",1,0,1,4.25,3.98,1.86,1.6,2.48,8,11,1,1
"2122","D1",2021-09-18,9,"Bayern Munich","Bochum",7,0,7,1.07,14.35,37.07,1.2,4.75,22,5,15,1
"2122","D1",2021-09-18,9,"Bielefeld","Hoffenheim",0,0,0,3.65,3.56,2.14,1.78,2.15,9,16,2,3
"2122","D1",2021-09-18,9,"Mainz","Freiburg",0,0,0,2.12,3.67,3.58,1.85,2.06,10,7,3,2
"2122","D1",2021-09-18,9,"FC Koln","RB Leipzig",1,1,2,4.5,3.98,1.82,1.6,2.48,14,18,6,9
"2122","D1",2021-09-19,9,"Stuttgart","Leverkusen",1,3,4,3.29,3.82,2.19,1.55,2.6,18,7,8,4
"2122","D1",2021-09-19,9,"Dortmund","Union Berlin",4,2,6,1.38,5.41,8.51,1.47,2.84,13,9,4,6
"2122","D1",2021-09-19,9,"Wolfsburg","Ein Frankfurt",1,1,2,1.85,3.83,4.47,1.79,2.13,15,6,6,2
"2122","D1",2021-09-24,9,"Greuther Furth","Bayern Munich",1,3,4,22.47,13.33,1.11,1.16,4.92,11,12,6,4
"2122","D1",2021-09-25,9,"Ein Frankfurt","FC Koln",1,1,2,2.08,3.89,3.5,1.62,2.43,10,15,3,2
"2122","D1",2021-09-25,9,"Hoffenheim","Wolfsburg",3,1,4,2.87,3.53,2.56,1.72,2.23,11,13,3,2
"2122","D1",2021-09-25,9,"Leverkusen","Mainz",1,0,1,1.77,4.07,4.7,1.68,2.31,16,14,9,5
"2122","D1",2021-09-25,9,"RB Leipzig","Hertha",6,0,6,1.36,5.37,9.56,1.61,2.46,18,5,11,3
"2122","D1",2021-09-25,9,"Union Berlin","Bielefeld",1,0,1,1.72,3.8,5.49,2.08,1.84,17,9,4,2
"2122","D1",2021-09-25,9,"M'gladbach","Dortmund",1,0,1,4.32,4.31,1.78,1.38,3.26,14,8,3,0
"2122","D1",2021-09-26,9,"Bochum","Stuttgart",0,0,0,3.15,3.62,2.33,1.72,2.23,14,8,4,3
"2122","D1",2021-09-26,9,"Freiburg","Augsburg",3,0,3,1.93,3.55,4.47,2.06,1.85,19,8,9,2
"2122","D1",2021-10-01,10,"FC Koln","Greuther Furth",3,1,4,1.46,4.89,7.3,1.5,2.72,18,7,8,3
"2122","D1",2021-10-02,10,"Dortmund","Augsburg",2,1,3,1.25,6.58,12.89,1.41,3.04,17,5,3,3
"2122","D1",2021-10-02,10,"Hertha","Freiburg",1,2,3,2.92,3.4,2.6,2.01,1.9,12,9,3,4
